"agencyID";"ar";"en";"en_description";"fr";"fr_description";"he";"id";"id_description";"isFinal";"version"
"1";"OECD";NA;"Code list for accounting entries";"Assets (or net acquisition of assets)";"Liste de codes pour les écritures comptables";"Actifs (ou acquisition nette d'actifs)";NA;"CL_ACCOUNTING_ENTRY";"A";"true";"1.0"
"2";"OECD";NA;"Code list for accounting entries";"Balance (revenue minus expenditure)";"Liste de codes pour les écritures comptables";"Solde (recettes moins dépenses)";NA;"CL_ACCOUNTING_ENTRY";"B";"true";"1.0"
"3";"OECD";NA;"Code list for accounting entries";"Revenue";"Liste de codes pour les écritures comptables";"Recettes";NA;"CL_ACCOUNTING_ENTRY";"C";"true";"1.0"
"4";"OECD";NA;"Code list for accounting entries";"Expenditure";"Liste de codes pour les écritures comptables";"Dépenses";NA;"CL_ACCOUNTING_ENTRY";"D";"true";"1.0"
"5";"OECD";NA;"Code list for accounting entries";"Liabilities (or net incurrence of liabilities)";"Liste de codes pour les écritures comptables";"Passifs (ou accroissement net des passifs)";NA;"CL_ACCOUNTING_ENTRY";"L";"true";"1.0"
"6";"OECD";NA;"Code list for accounting entries";"Net (assets minus liabilities)";"Liste de codes pour les écritures comptables";"Net (actifs moins passifs)";NA;"CL_ACCOUNTING_ENTRY";"N";"true";"1.0"
"7";"OECD";NA;"Code list for accounting entries";"Disinvestment (sales of equity)";"Liste de codes pour les écritures comptables";"Désinvestissement (cession de participations)";NA;"CL_ACCOUNTING_ENTRY";"DIV";"true";"1.0"
"8";"OECD";NA;"Code list for accounting entries";"Investment (purchase of equity)";"Liste de codes pour les écritures comptables";"Investissement (acquisition de participations)";NA;"CL_ACCOUNTING_ENTRY";"INV";"true";"1.0"
"9";"OECD";NA;"Code list for accounting entries";"Net FDI";"Liste de codes pour les écritures comptables";"IDE net";NA;"CL_ACCOUNTING_ENTRY";"NET_FDI";"true";"1.0"
"10";"OECD";NA;"Code list for accounting entries";"Unspecified";"Liste de codes pour les écritures comptables";"Non spécifié";NA;"CL_ACCOUNTING_ENTRY";"_X";"true";"1.0"
